,date,Price
0,2010-05-31,1.08
1,2010-06-30,0.78
2,2010-07-31,0.78
3,2010-08-31,0.87
4,2010-09-30,1.23
5,2010-10-31,1.34
6,2010-11-30,
7,2010-12-31,
8,2011-01-31,1.49
9,2011-02-28,1.73
10,2011-03-31,1.64
11,2011-04-30,1.53
12,2011-05-31,1.4
13,2011-06-30,1.1
14,2011-07-31,0.96
15,2011-08-31,0.88
16,2011-09-30,0.94
17,2011-10-31,1.3
18,2011-11-30,1.77
19,2011-12-31,2.5
20,2012-01-31,2.88
21,2012-02-29,2.52
22,2012-03-31,2.5
23,2012-04-30,2.0
24,2012-05-31,1.0
25,2012-06-30,0.75
26,2012-07-31,1.14
27,2012-08-31,1.02
28,2012-09-30,1.11
29,2012-10-31,0.96
30,2012-11-30,0.92
31,2012-12-31,1.0
32,2013-01-31,2.02
33,2013-02-28,2.2
34,2013-03-31,2.15
35,2013-04-30,1.22
36,2013-05-31,0.89
37,2013-06-30,0.9
38,2013-07-31,0.97
39,2013-08-31,0.94
40,2013-09-30,0.99
41,2013-10-31,1.3
42,2013-11-30,1.41
43,2013-12-31,2.28
44,2014-01-31,2.22
45,2014-02-28,1.9
46,2014-03-31,1.98
47,2014-04-30,1.38
48,2014-05-31,1.29
49,2014-06-30,1.04
50,2014-07-31,1.09
51,2014-08-31,1.5
52,2014-09-30,1.52
53,2014-10-31,1.16
54,2014-11-30,1.53
55,2014-12-31,1.82
56,2015-01-31,2.68
57,2015-02-28,2.99
58,2015-03-31,2.63
59,2015-04-30,1.93
60,2015-05-31,1.44
61,2015-06-30,1.35
62,2015-07-31,1.34
63,2015-08-31,1.34
64,2015-09-30,1.41
65,2015-10-31,1.45
66,2015-11-30,1.59
67,2015-12-31,2.12
68,2016-01-31,2.46
69,2016-02-29,2.0
70,2016-03-31,1.86
71,2016-04-30,1.2
72,2016-05-31,1.3
73,2016-06-30,1.19
74,2016-07-31,1.19
75,2016-08-31,1.21
76,2016-09-30,1.2
77,2016-10-31,1.36
78,2016-11-30,1.24
79,2016-12-31,2.22
80,2017-01-31,3.38
81,2017-02-28,3.05
82,2017-03-31,3.04
83,2017-04-30,1.32
84,2017-05-31,1.39
85,2017-06-30,1.11
86,2017-07-31,1.13
87,2017-08-31,1.1
88,2017-09-30,1.15
89,2017-10-31,1.77
90,2017-11-30,1.66
91,2017-12-31,1.88
92,2018-01-31,2.0
93,2018-02-28,2.31
94,2018-03-31,1.95
95,2018-04-30,1.39
96,2018-05-31,1.67
97,2018-06-30,1.16
98,2018-07-31,1.22
99,2018-08-31,1.23
100,2018-09-30,1.25
101,2018-10-31,1.67
102,2018-11-30,2.09
103,2018-12-31,3.26
104,2019-01-31,4.57
105,2019-02-28,4.75
106,2019-03-31,4.97
107,2019-04-30,2.68
108,2019-05-31,2.49
109,2019-06-30,1.55
110,2019-07-31,1.4
111,2019-08-31,1.27
112,2019-09-30,1.73
113,2019-10-31,1.66
114,2019-11-30,1.57
115,2019-12-31,2.01
