,date,Price
0,2010-05-31,1.39
1,2010-06-30,1.0
2,2010-07-31,1.22
3,2010-08-31,1.45
4,2010-09-30,2.01
5,2010-10-31,3.29
6,2010-11-30,
7,2010-12-31,
8,2011-01-31,1.28
9,2011-02-28,1.16
10,2011-03-31,1.5
11,2011-04-30,1.5
12,2011-05-31,1.26
13,2011-06-30,1.01
14,2011-07-31,0.87
15,2011-08-31,0.91
16,2011-09-30,0.81
17,2011-10-31,1.12
18,2011-11-30,1.5
19,2011-12-31,2.0
20,2012-01-31,2.0
21,2012-02-29,2.0
22,2012-03-31,1.5
23,2012-04-30,1.5
24,2012-05-31,1.73
25,2012-06-30,0.64
26,2012-07-31,1.3
27,2012-08-31,1.18
28,2012-09-30,1.21
29,2012-10-31,1.26
30,2012-11-30,0.67
31,2012-12-31,1.36
32,2013-01-31,1.72
33,2013-02-28,1.42
34,2013-03-31,1.8
35,2013-04-30,1.82
36,2013-05-31,1.24
37,2013-06-30,1.46
38,2013-07-31,1.46
39,2013-08-31,1.36
40,2013-09-30,1.4
41,2013-10-31,1.73
42,2013-11-30,1.17
43,2013-12-31,1.48
44,2014-01-31,1.62
45,2014-02-28,1.46
46,2014-03-31,1.68
47,2014-04-30,1.69
48,2014-05-31,1.25
49,2014-06-30,1.16
50,2014-07-31,1.17
51,2014-08-31,1.43
52,2014-09-30,1.47
53,2014-10-31,1.44
54,2014-11-30,1.64
55,2014-12-31,1.53
56,2015-01-31,1.74
57,2015-02-28,1.65
58,2015-03-31,1.66
59,2015-04-30,2.02
60,2015-05-31,1.6
61,2015-06-30,1.07
62,2015-07-31,1.15
63,2015-08-31,1.1
64,2015-09-30,1.18
65,2015-10-31,1.29
66,2015-11-30,1.7
67,2015-12-31,2.02
68,2016-01-31,1.96
69,2016-02-29,1.53
70,2016-03-31,1.44
71,2016-04-30,1.55
72,2016-05-31,1.14
73,2016-06-30,1.22
74,2016-07-31,1.35
75,2016-08-31,1.27
76,2016-09-30,1.41
77,2016-10-31,1.48
78,2016-11-30,1.08
79,2016-12-31,1.34
80,2017-01-31,1.97
81,2017-02-28,1.48
82,2017-03-31,1.6
83,2017-04-30,2.38
84,2017-05-31,2.05
85,2017-06-30,1.37
86,2017-07-31,1.43
87,2017-08-31,1.33
88,2017-09-30,1.31
89,2017-10-31,1.6
90,2017-11-30,1.89
91,2017-12-31,2.13
92,2018-01-31,1.85
93,2018-02-28,1.78
94,2018-03-31,1.84
95,2018-04-30,1.73
96,2018-05-31,1.47
97,2018-06-30,1.72
98,2018-07-31,1.78
99,2018-08-31,1.76
100,2018-09-30,1.75
101,2018-10-31,1.91
102,2018-11-30,2.06
103,2018-12-31,2.23
104,2019-01-31,3.02
105,2019-02-28,2.67
106,2019-03-31,3.02
107,2019-04-30,3.53
108,2019-05-31,2.52
109,2019-06-30,1.81
110,2019-07-31,2.02
111,2019-08-31,1.74
112,2019-09-30,1.73
113,2019-10-31,1.47
114,2019-11-30,1.67
115,2019-12-31,1.82
