TARİH,KURŞUNSUZ BENZİN (TL/LT),GAZ YAĞI (TL/LT),TP MOTORİN (TL/LT),MOTORİN (TL/LT),KALORİFER YAKITI (TL/KG),FUEL OIL (TL/KG),Y.K. FUEL OIL (TL/KG),TPGAZ
01 Ocak 2011,3.88,2.74,-,3.29,2.02,-,1.72,-
13 Ocak 2011,3.96,2.81,-,3.29,2.02,-,1.77,-
25 Şubat 2011,4.04,2.98,-,3.50,2.30,-,1.96,-
04 Mart 2011,4.09,3.06,-,3.62,2.37,-,2.02,-
06 Haziran 2012,4.36,3.11,-,3.70,2.71,2.39,2.10,-
15 Haziran 2012,4.24,3.11,-,3.70,2.71,2.39,2.10,-
22 Mart 2011,4.05,3.01,-,3.62,2.37,-,2.06,-
07 Nisan 2011,4.15,3.01,-,3.58,2.37,-,2.13,-
06 Temmuz 2012,4.33,3.03,-,3.64,2.70,2.37,2.03,-
11 Temmuz 2012,4.33,3.12,-,3.73,2.76,2.42,2.08,-
16 Ocak 2024,38.24,34.20,40.52,40.48,28.30,24.96,19.72,19.68
20 Ocak 2024,38.24,34.20,41.68,41.64,28.30,24.96,19.72,20.04
23 Ocak 2024,38.28,34.20,41.71,41.66,28.30,24.96,19.72,20.04
26 Ocak 2024,39.74,35.29,41.76,41.71,28.06,24.02,19.83,20.04
03 Ağustos 2023,37.14,32.80,37.62,37.57,27.42,23.68,20.68,16.22
09 Ağustos 2023,37.16,32.80,37.68,37.64,27.42,23.68,20.68,16.22
07 Eylül 2023,37.99,32.80,39.17,39.13,28.54,24.27,21.85,17.53
13 Eylül 2023,38.02,34.96,41.23,41.19,28.54,24.27,21.85,17.53
15 Eylül 2023,39.71,34.96,41.28,41.24,28.54,24.27,21.85,17.53
12 Aralık 2023,34.30,30.03,36.82,36.78,25.61,22.07,17.88,18.46
16 Aralık 2023,34.31,30.03,36.84,36.80,26.28,23.06,17.96,18.46
21 Aralık 2023,35.86,32.44,36.87,36.83,27.29,23.75,19.28,18.46
29 Aralık 2023,35.87,32.44,38.53,38.49,27.13,23.75,18.64,18.46
03 Ocak 2024,38.19,33.65,40.71,40.67,27.40,24.01,18.89,19.48
06 Ocak 2024,38.23,33.65,40.50,40.46,27.40,24.01,18.89,19.58
